ssd,current_spot_price
2016-11-29,1772.0
2016-11-30,1722.0
2016-12-01,1724.0
2016-12-02,1715.0
2016-12-05,1728.0
2016-12-06,1718.0
2016-12-07,1728.0
2016-12-08,1732.0
2016-12-09,1742.0
2016-12-12,1750.0
2016-12-13,1755.0
2016-12-14,1752.0
2016-12-15,1736.0
2016-12-16,1732.0
2016-12-19,1717.0
2016-12-20,1722.0
2016-12-21,1730.0
2016-12-22,1738.0
2016-12-23,1740.0
2016-12-26,1735.3333333333333
2016-12-27,1730.6666666666667
2016-12-28,1726.0
2016-12-29,1713.0
2016-12-30,1714.0
2017-01-02,1708.0
2017-01-03,1702.0
2017-01-04,1701.0
2017-01-05,1710.0
2017-01-06,1722.0
2017-01-09,1717.0
2017-01-10,1758.0
2017-01-11,1748.0
2017-01-12,1788.0
2017-01-13,1790.0
2017-01-16,1812.0
2017-01-17,1806.0
2017-01-18,1800.0
2017-01-19,1832.0
2017-01-20,1839.0
2017-01-23,1870.0
2017-01-24,1870.0
2017-01-25,1849.0
2017-01-26,1838.0
2017-01-27,1828.0
2017-01-30,1807.0
2017-01-31,1820.0
2017-02-01,1818.0
2017-02-02,1813.0
2017-02-03,1813.0
2017-02-06,1812.0
2017-02-07,1809.0
2017-02-08,1821.0
2017-02-09,1839.0
2017-02-10,1849.0
2017-02-13,1868.0
2017-02-14,1893.0
2017-02-15,1871.0
2017-02-16,1878.0
2017-02-17,1866.0
2017-02-20,1878.0
2017-02-21,1878.0
2017-02-22,1873.0
2017-02-23,1882.0
2017-02-24,1877.0
2017-02-27,1908.0
2017-02-28,1895.0
2017-03-01,1934.0
2017-03-02,1929.0
2017-03-03,1909.0
2017-03-06,1868.0
2017-03-07,1858.0
2017-03-08,1881.0
2017-03-09,1847.0
2017-03-10,1884.0
2017-03-13,1882.0
2017-03-14,1851.0
2017-03-15,1863.0
2017-03-16,1895.0
2017-03-17,1901.0
2017-03-20,1908.0
2017-03-21,1918.0
2017-03-22,1910.0
2017-03-23,1913.0
2017-03-24,1918.0
2017-03-27,1916.0
2017-03-28,1918.0
2017-03-29,1931.0
2017-03-30,1955.0
2017-03-31,1946.0
2017-04-03,1951.3333333333333
2017-04-04,1956.6666666666667
2017-04-05,1962.0
2017-04-06,1956.0
2017-04-07,1930.0
2017-04-10,1929.0
2017-04-11,1908.0
2017-04-12,1907.0
2017-04-13,1890.0
2017-04-14,1898.6666666666667
2017-04-17,1907.3333333333333
2017-04-18,1916.0
2017-04-19,1896.0
2017-04-20,1933.0
2017-04-21,1932.0
2017-04-24,1928.0
2017-04-25,1943.0
2017-04-26,1957.0
2017-04-27,1954.0
2017-04-28,1930.0
2017-05-01,1919.5
2017-05-02,1909.0
2017-05-03,1916.0
2017-05-04,1910.0
2017-05-05,1907.0
2017-05-08,1879.0
2017-05-09,1874.0
2017-05-10,1870.0
2017-05-11,1887.0
2017-05-12,1880.0
2017-05-15,1900.0
2017-05-16,1915.0
2017-05-17,1928.0
2017-05-18,1905.0
2017-05-19,1938.0
2017-05-22,1943.0
2017-05-23,1926.0
2017-05-24,1944.0
2017-05-25,1954.0
2017-05-26,1950.0
2017-05-29,1947.0
2017-05-30,1944.0
2017-05-31,1920.0
2017-06-01,1930.0
2017-06-02,1916.0
2017-06-05,1918.0
2017-06-06,1893.0
2017-06-07,1904.0
